train_set,seed,elapsed_s,pretrain_min_val_loss,finetune_min_val_loss,pretrain_epochs_done,finetune_epochs_done
POCO#STANDING,0,273.2145643234253,0.05411621928215027,0.08566522598266602,60,80
POCO#STANDING,1,197.01397371292114,0.04607737809419632,0.08598529547452927,60,74
POCO#STANDING,2,217.4739797115326,0.047435346990823746,0.08101329207420349,60,80
POCO#STANDING,3,211.67943167686462,0.05212490260601044,0.10270966589450836,60,64
POCO#STANDING,4,205.0222728252411,0.04465986415743828,0.0704280436038971,60,80
POCO#TRIPOD,0,195.4047179222107,0.05875531956553459,0.05745651572942734,60,66
POCO#TRIPOD,1,215.9431562423706,0.048704467713832855,0.045903097838163376,60,80
POCO#TRIPOD,2,197.227064371109,0.059459056705236435,0.05139854922890663,60,80
POCO#TRIPOD,3,180.53421759605408,0.05762678384780884,0.0673544779419899,60,66
POCO#TRIPOD,4,231.81127047538757,0.05514178052544594,0.05309348553419113,60,73
SAMSUNG#STANDING,0,155.37490582466125,0.018429556861519814,0.039886727929115295,60,66
SAMSUNG#STANDING,1,169.814270734787,0.01668492704629898,0.053961094468832016,60,61
SAMSUNG#STANDING,2,142.8381428718567,0.013619993813335896,0.06205999478697777,60,40
SAMSUNG#STANDING,3,317.0778274536133,0.023126346990466118,0.03855166584253311,60,80
SAMSUNG#STANDING,4,331.7393741607666,0.02076547220349312,0.041670914739370346,60,80
SAMSUNG#TRIPOD,0,315.29373693466187,0.01289650984108448,0.028767021372914314,60,63
SAMSUNG#TRIPOD,1,341.9535481929779,0.015697862952947617,0.03066100738942623,60,80
SAMSUNG#TRIPOD,2,293.3743839263916,0.01306875143200159,0.0300552137196064,60,76
SAMSUNG#TRIPOD,3,311.7645993232727,0.015843169763684273,0.04154348000884056,60,39
SAMSUNG#TRIPOD,4,343.004043340683,0.011141075752675533,0.027422046288847923,60,72
