method,train_set,test_set,scenario,error
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.0526465625138166
centroid,POCO#STANDING,POCO#STANDING,auto,1.2857754936487789
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.2857754936487789
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.2857754936487789
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.2857754936487789
centroid,POCO#STANDING,POCO#STANDING,auto,1.2762242335721032
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.2762242335721032
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.2762242335721032
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.2762242335721032
centroid,POCO#STANDING,POCO#STANDING,auto,2.7430165884556788
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.7430165884556788
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.7430165884556788
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.7430165884556788
centroid,POCO#STANDING,POCO#STANDING,auto,0.8039215804734688
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.8039215804734688
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.8039215804734688
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.8039215804734688
centroid,POCO#STANDING,POCO#STANDING,auto,0.7800908993236332
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.7800908993236332
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.7800908993236332
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.7800908993236332
centroid,POCO#STANDING,POCO#STANDING,auto,3.810055931208944
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,3.810055931208944
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,3.810055931208944
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,3.810055931208944
centroid,POCO#STANDING,POCO#STANDING,auto,2.336047493380749
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.336047493380749
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.336047493380749
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.336047493380749
centroid,POCO#STANDING,POCO#STANDING,auto,2.88071554155402
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.88071554155402
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.88071554155402
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.88071554155402
centroid,POCO#STANDING,POCO#STANDING,auto,0.5706647785227541
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.5706647785227541
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.5706647785227541
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.5706647785227541
centroid,POCO#STANDING,POCO#STANDING,auto,2.115860806714557
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.115860806714557
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.115860806714557
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.115860806714557
centroid,POCO#STANDING,POCO#STANDING,auto,1.54850282526584
