method,train_set,test_set,scenario,error
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.8727562886668264
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.104159625042012
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.104159625042012
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.104159625042012
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.104159625042012
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.3980815321972118
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.3980815321972118
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.3980815321972118
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.3980815321972118
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.8882544094146945
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.8882544094146945
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.8882544094146945
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.8882544094146945
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.9530338581394715
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.9530338581394715
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.9530338581394715
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.9530338581394715
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.1616872815209816
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.1616872815209816
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.1616872815209816
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.1616872815209816
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.227354532416158
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.227354532416158
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.227354532416158
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.227354532416158
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.2205102307392313
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.2205102307392313
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.2205102307392313
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.2205102307392313
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.7738801832459128
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.7738801832459128
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.7738801832459128
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.7738801832459128
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.1663780188088044
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.1663780188088044
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.1663780188088044
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.1663780188088044
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.172143761930945
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.172143761930945
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.172143761930945
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.172143761930945
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.9114537009117611
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.9114537009117611
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.9114537009117611
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.9114537009117611
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.2348199265215574
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.2348199265215574
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.2348199265215574
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.2348199265215574
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.0414125182443368
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.0414125182443368
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.0414125182443368
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.0414125182443368
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.117053261147215
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.117053261147215
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.117053261147215
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.117053261147215
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.8551074334767186
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.8551074334767186
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.8551074334767186
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.8551074334767186
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.9064192131635926
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.9064192131635926
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.9064192131635926
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.9064192131635926
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.193823572103463
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.193823572103463
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.193823572103463
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.193823572103463
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.0351983555216648
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.0351983555216648
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.0351983555216648
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.0351983555216648
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,3.614546576312316
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,3.614546576312316
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,3.614546576312316
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,3.614546576312316
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.1108127675674435
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.1108127675674435
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.1108127675674435
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.1108127675674435
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.243905425511702
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.243905425511702
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.243905425511702
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.243905425511702
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.329993987103761
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.329993987103761
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.329993987103761
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.329993987103761
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.4195805201182188
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.4195805201182188
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.4195805201182188
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.4195805201182188
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.5243201907615286
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.5243201907615286
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.5243201907615286
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.5243201907615286
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.8292522786073825
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.8292522786073825
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.8292522786073825
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.8292522786073825
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.236199033715258
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.236199033715258
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.236199033715258
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.236199033715258
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.838176676713972
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.838176676713972
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.838176676713972
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.838176676713972
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.4050472709216455
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.4050472709216455
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.4050472709216455
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.4050472709216455
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.0499629364703336
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.0499629364703336
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.0499629364703336
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.0499629364703336
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.947864721272723
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.947864721272723
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.947864721272723
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.947864721272723
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.939682358234713
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.939682358234713
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.939682358234713
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.939682358234713
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.2250535666132603
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.2250535666132603
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.2250535666132603
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.2250535666132603
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.0469501631321594
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.0469501631321594
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.0469501631321594
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.0469501631321594
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.4559595122175704
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.4559595122175704
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.4559595122175704
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.4559595122175704
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.8098522534081674
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.8098522534081674
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.8098522534081674
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.8098522534081674
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.404866282533757
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.404866282533757
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.404866282533757
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.404866282533757
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.5336729625124484
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.5336729625124484
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.5336729625124484
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.5336729625124484
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.0145218453961695
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.0145218453961695
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.0145218453961695
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.0145218453961695
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.2002864992992714
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.2002864992992714
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.2002864992992714
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.2002864992992714
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.1792687247181706
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.1792687247181706
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.1792687247181706
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.1792687247181706
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.160076427287337
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.160076427287337
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.160076427287337
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.160076427287337
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.8200394585997317
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.8200394585997317
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.8200394585997317
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.8200394585997317
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.335273917970829
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.335273917970829
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.335273917970829
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.335273917970829
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.8337396577401472
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.8337396577401472
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.8337396577401472
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.8337396577401472
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.135149821711355
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.135149821711355
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.135149821711355
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.135149821711355
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,3.5322665140530445
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,3.5322665140530445
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,3.5322665140530445
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,3.5322665140530445
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.7892398619773378
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.7892398619773378
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.7892398619773378
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.7892398619773378
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.922142712573095
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.922142712573095
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.922142712573095
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.922142712573095
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.191639058468924
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.191639058468924
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.191639058468924
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.191639058468924
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.222177250165549
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.222177250165549
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.222177250165549
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.222177250165549
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.8735195438923236
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.8735195438923236
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.8735195438923236
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.8735195438923236
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.030759623430057
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.030759623430057
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.030759623430057
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.030759623430057
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.9680764238802435
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.9680764238802435
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.9680764238802435
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.9680764238802435
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.53299078528652
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.53299078528652
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.53299078528652
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.53299078528652
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,3.615527819538056
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,3.615527819538056
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,3.615527819538056
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,3.615527819538056
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.0674346862329098
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.0674346862329098
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.0674346862329098
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.0674346862329098
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.9162005127680444
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.9162005127680444
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.9162005127680444
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.9162005127680444
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.1507073648223827
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.1507073648223827
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.1507073648223827
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.1507073648223827
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.1177667443986443
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.1177667443986443
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.1177667443986443
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.1177667443986443
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.1889824114397247
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.1889824114397247
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.1889824114397247
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.1889824114397247
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.5399431048764293
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.5399431048764293
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.5399431048764293
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.5399431048764293
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.7852020447573054
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.7852020447573054
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.7852020447573054
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.7852020447573054
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.444581862235475
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.444581862235475
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.444581862235475
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.444581862235475
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.251748544869374
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.251748544869374
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.251748544869374
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.251748544869374
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.267469458723457
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.267469458723457
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.267469458723457
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.267469458723457
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.14082904445805
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.14082904445805
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.14082904445805
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.14082904445805
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.1026047111487254
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.1026047111487254
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.1026047111487254
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.1026047111487254
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.983996284025394
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.983996284025394
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.983996284025394
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.983996284025394
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.1318810351838968
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.1318810351838968
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.1318810351838968
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.1318810351838968
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.74108032502638
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.74108032502638
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.74108032502638
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.74108032502638
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.1387307102930797
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.1387307102930797
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.1387307102930797
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.1387307102930797
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.871463515573184
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.871463515573184
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.871463515573184
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.871463515573184
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.963280183898806
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.963280183898806
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.963280183898806
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.963280183898806
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.327280929454799
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.327280929454799
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.327280929454799
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.327280929454799
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.8240238871448031
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.8240238871448031
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.8240238871448031
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.8240238871448031
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.9524092214933216
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.9524092214933216
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.9524092214933216
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.9524092214933216
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.3351201164270257
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.3351201164270257
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.3351201164270257
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.3351201164270257
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,3.655860105482894
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,3.655860105482894
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,3.655860105482894
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,3.655860105482894
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,2.939871471563473
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,2.939871471563473
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,2.939871471563473
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.939871471563473
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,0.5748250620361408
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,0.5748250620361408
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.5748250620361408
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.5748250620361408
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.4236605100829685
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.4236605100829685
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.4236605100829685
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.4236605100829685
centroid,POCO#STANDING,SAMSUNG#STANDING,cross-device,1.0199723422170657
centroid,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,1.0199723422170657
centroid,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,1.0199723422170657
centroid,SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,1.0199723422170657
centroid,POCO#STANDING,SAMSUNG#STANDING,cross-device,1.2647465126393942
centroid,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,1.2647465126393942
centroid,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,1.2647465126393942
centroid,SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,1.2647465126393942
centroid,POCO#STANDING,SAMSUNG#STANDING,cross-device,1.5839605286222995
centroid,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,1.5839605286222995
centroid,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,1.5839605286222995
centroid,SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,1.5839605286222995
centroid,POCO#STANDING,SAMSUNG#STANDING,cross-device,2.6167055617639234
centroid,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,2.6167055617639234
centroid,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,2.6167055617639234
centroid,SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,2.6167055617639234
centroid,POCO#STANDING,SAMSUNG#STANDING,cross-device,2.2002618058006016
centroid,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,2.2002618058006016
centroid,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,2.2002618058006016
centroid,SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,2.2002618058006016
